onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
33-2011.00,Firefighters,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",27.34,08/2026,Incumbent,O*NET
33-2021.00,Fire Inspectors and Investigators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",25.4,08/2022,Incumbent,O*NET
33-2021.00,Fire Inspectors and Investigators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",32.26,08/2022,Incumbent,O*NET
33-2021.00,Fire Inspectors and Investigators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",27.02,08/2022,Incumbent,O*NET
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",45.56,08/2019,Incumbent,O*NET
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",28.39,08/2019,Incumbent,O*NET
33-2022.00,Forest Fire Inspectors and Prevention Specialists,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",23.97,08/2019,Incumbent,O*NET
33-3011.00,Bailiffs,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,27.51,08/2020,Incumbent,O*NET
33-3011.00,Bailiffs,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",28.84,08/2020,Incumbent,O*NET
33-3011.00,Bailiffs,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",34.16,08/2020,Incumbent,O*NET
33-3012.00,Correctional Officers and Jailers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,51.32,08/2023,Incumbent,O*NET
33-3012.00,Correctional Officers and Jailers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",43.91,08/2023,Incumbent,O*NET
33-3012.00,Correctional Officers and Jailers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",40.63,08/2023,Incumbent,O*NET
33-3021.00,Detectives and Criminal Investigators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,32.43,08/2026,Incumbent,O*NET
33-3021.00,Detectives and Criminal Investigators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",28.51,08/2026,Incumbent,O*NET
33-3021.00,Detectives and Criminal Investigators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",35.54,08/2026,Incumbent,O*NET
33-3021.02,Police Identification and Records Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",40.4,08/2025,Incumbent,O*NET
33-3021.02,Police Identification and Records Officers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",22.39,08/2025,Incumbent,O*NET
33-3021.02,Police Identification and Records Officers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",30.83,08/2025,Incumbent,O*NET
33-3021.06,Intelligence Analysts,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),7,"Over 2 years, up to and including 4 years",30.43,08/2024,Occupational Expert,O*NET
33-3021.06,Intelligence Analysts,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",30.43,08/2024,Occupational Expert,O*NET
33-3021.06,Intelligence Analysts,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",34.78,08/2024,Occupational Expert,O*NET
33-3031.00,Fish and Game Wardens,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,48.37,08/2026,Incumbent,O*NET
33-3031.00,Fish and Game Wardens,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),6,"Over 1 year, up to and including 2 years",42.47,08/2026,Incumbent,O*NET
33-3031.00,Fish and Game Wardens,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",36.7,08/2026,Incumbent,O*NET
33-3041.00,Parking Enforcement Workers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,84.48,08/2026,Incumbent,O*NET
