level,anzsco_code,anzsco_title,northern_australia,date,vacancies
4,3121,"Architectural, Building and Surveying Technicians",Northern Australia,2026-07-01,127
4,3122,Civil Engineering Draftspersons and Technicians,Northern Australia,2026-07-01,15
4,3123,Electrical Engineering Draftspersons and Technicians,Northern Australia,2026-07-01,14
4,3124,Electronic Engineering Draftspersons and Technicians,Northern Australia,2026-07-01,4
4,3125,Mechanical Engineering Draftspersons and Technicians,Northern Australia,2026-07-01,32
4,3126,Safety Inspectors,Northern Australia,2026-07-01,11
4,3129,Other Building and Engineering Technicians,Northern Australia,2026-07-01,74
4,3131,ICT Support Technicians,Northern Australia,2026-07-01,24
4,3132,Telecommunications Technical Specialists,Northern Australia,2026-07-01,2
4,3211,Automotive Electricians,Northern Australia,2026-07-01,54
4,3212,Motor Mechanics,Northern Australia,2026-07-01,329
4,3221,"Metal Casting, Forging and Finishing Trades Workers",Northern Australia,2026-07-01,0
4,3222,Sheetmetal Trades Workers,Northern Australia,2026-07-01,26
4,3223,Structural Steel and Welding Trades Workers,Northern Australia,2026-07-01,191
4,3231,Aircraft Maintenance Engineers,Northern Australia,2026-07-01,26
4,3232,Metal Fitters and Machinists,Northern Australia,2026-07-01,449
4,3233,Precision Metal Trades Workers,Northern Australia,2026-07-01,2
4,3234,Toolmakers and Engineering Patternmakers,Northern Australia,2026-07-01,0
4,3241,Panelbeaters,Northern Australia,2026-07-01,13
4,3242,Vehicle Body Builders and Trimmers,Northern Australia,2026-07-01,1
4,3243,Vehicle Painters,Northern Australia,2026-07-01,4
4,3311,Bricklayers and Stonemasons,Northern Australia,2026-07-01,9
4,3312,Carpenters and Joiners,Northern Australia,2026-07-01,94
4,3321,Floor Finishers,Northern Australia,2026-07-01,5
4,3322,Painting Trades Workers,Northern Australia,2026-07-01,78
4,3331,Glaziers,Northern Australia,2026-07-01,14
4,3332,Plasterers,Northern Australia,2026-07-01,12
4,3333,Roof Tilers,Northern Australia,2026-07-01,4
4,3334,Wall and Floor Tilers,Northern Australia,2026-07-01,5
4,3341,Plumbers,Northern Australia,2026-07-01,109
4,3411,Electricians,Northern Australia,2026-07-01,323
4,3421,Airconditioning and Refrigeration Mechanics,Northern Australia,2026-07-01,49
4,3422,Electrical Distribution Trades Workers,Northern Australia,2026-07-01,12
4,3423,Electronics Trades Workers,Northern Australia,2026-07-01,16
4,3424,Telecommunications Trades Workers,Northern Australia,2026-07-01,11
4,3511,Bakers and Pastrycooks,Northern Australia,2026-07-01,18
4,3512,Butchers and Smallgoods Makers,Northern Australia,2026-07-01,11
4,3513,Chefs,Northern Australia,2026-07-01,173
4,3514,Cooks,Northern Australia,2026-07-01,97
4,3611,Animal Attendants and Trainers,Northern Australia,2026-07-01,4
4,3612,Shearers,Northern Australia,2026-07-01,0
4,3613,Veterinary Nurses,Northern Australia,2026-07-01,9
4,3621,Florists,Northern Australia,2026-07-01,1
4,3622,Gardeners,Northern Australia,2026-07-01,52
4,3623,Greenkeepers,Northern Australia,2026-07-01,26
4,3624,Nurserypersons,Northern Australia,2026-07-01,2
4,3911,Hairdressers,Northern Australia,2026-07-01,29
4,3921,"Binders, Finishers and Screen Printers",Northern Australia,2026-07-01,0
4,3922,Graphic Pre-press Trades Workers,Northern Australia,2026-07-01,4
4,3923,Printers,Northern Australia,2026-07-01,1
4,3931,Canvas and Leather Goods Makers,Northern Australia,2026-07-01,0
4,3932,Clothing Trades Workers,Northern Australia,2026-07-01,0
4,3933,Upholsterers,Northern Australia,2026-07-01,0
4,3941,Cabinetmakers,Northern Australia,2026-07-01,12
4,3942,Wood Machinists and Other Wood Trades Workers,Northern Australia,2026-07-01,1
4,3991,Boat Builders and Shipwrights,Northern Australia,2026-07-01,2
4,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",Northern Australia,2026-07-01,14
4,3993,"Gallery, Library and Museum Technicians",Northern Australia,2026-07-01,2
4,3994,Jewellers,Northern Australia,2026-07-01,2
4,3995,Performing Arts Technicians,Northern Australia,2026-07-01,2
4,3996,Signwriters,Northern Australia,2026-07-01,3
4,3999,Other Miscellaneous Technicians and Trades Workers,Northern Australia,2026-07-01,83
1,4,COMMUNITY AND PERSONAL SERVICE WORKERS,Northern Australia,2026-07-01,1301
2,41,Health and Welfare Support Workers,Northern Australia,2026-07-01,270
2,42,Carers and Aides,Northern Australia,2026-07-01,655
2,43,Hospitality Workers,Northern Australia,2026-07-01,170
2,44,Protective Service Workers,Northern Australia,2026-07-01,78
2,45,"Sports, Travel and Personal Service Workers",Northern Australia,2026-07-01,128
4,4111,Ambulance Officers and Paramedics,Northern Australia,2026-07-01,5
4,4112,"Dental Hygienists, Technicians and Therapists",Northern Australia,2026-07-01,14
4,4113,Diversional Therapists,Northern Australia,2026-07-01,3
4,4114,Enrolled and Mothercraft Nurses,Northern Australia,2026-07-01,30
4,4115,Indigenous Health Workers,Northern Australia,2026-07-01,13
4,4116,Massage Therapists,Northern Australia,2026-07-01,5
4,4117,Welfare Support Workers,Northern Australia,2026-07-01,200
4,4211,Child Carers,Northern Australia,2026-07-01,189
4,4221,Education Aides,Northern Australia,2026-07-01,111
4,4231,Aged and Disabled Carers,Northern Australia,2026-07-01,204
