anzsco_code,occupation,state,share_pct
121213,Fruit and Nut Growers,WA,9.2
121213,Fruit and Nut Growers,TAS,4.1
121213,Fruit and Nut Growers,NT,1.6
121213,Fruit and Nut Growers,ACT,0.1
121214,"Grain, Oilseed and Pasture Growers",NSW,23.7
121214,"Grain, Oilseed and Pasture Growers",VIC,23.1
121214,"Grain, Oilseed and Pasture Growers",QLD,13.6
121214,"Grain, Oilseed and Pasture Growers",SA,17.1
121214,"Grain, Oilseed and Pasture Growers",WA,21.9
121214,"Grain, Oilseed and Pasture Growers",TAS,0.4
121214,"Grain, Oilseed and Pasture Growers",NT,0.1
121214,"Grain, Oilseed and Pasture Growers",ACT,0.1
121215,Grape Growers,NSW,14.5
121215,Grape Growers,VIC,29.6
121215,Grape Growers,QLD,1.8
121215,Grape Growers,SA,40
121215,Grape Growers,WA,9.2
121215,Grape Growers,TAS,4.7
121215,Grape Growers,NT,0
121215,Grape Growers,ACT,0.3
121216,Mixed Crop Farmers,NSW,28.3
121216,Mixed Crop Farmers,VIC,15.4
121216,Mixed Crop Farmers,QLD,30.8
121216,Mixed Crop Farmers,SA,12.5
121216,Mixed Crop Farmers,WA,9.6
121216,Mixed Crop Farmers,TAS,2.3
121216,Mixed Crop Farmers,NT,1.3
121216,Mixed Crop Farmers,ACT,0
121217,Sugar Cane Growers,NSW,7
121217,Sugar Cane Growers,VIC,0.2
121217,Sugar Cane Growers,QLD,92.5
121217,Sugar Cane Growers,SA,0
121217,Sugar Cane Growers,WA,0.1
121217,Sugar Cane Growers,TAS,0
121217,Sugar Cane Growers,NT,0
121217,Sugar Cane Growers,ACT,0
121218,Turf Growers,NSW,45.9
121218,Turf Growers,VIC,8.9
121218,Turf Growers,QLD,31.7
121218,Turf Growers,SA,4.3
121218,Turf Growers,WA,7.6
121218,Turf Growers,TAS,0
121218,Turf Growers,NT,1
121218,Turf Growers,ACT,1
121221,Vegetable Growers,NSW,23.7
121221,Vegetable Growers,VIC,22.9
121221,Vegetable Growers,QLD,21.3
121221,Vegetable Growers,SA,17.6
121221,Vegetable Growers,WA,9.2
121221,Vegetable Growers,TAS,4.2
