anzsco_code,occupation,industry_rank,industry
2324,"Graphic and Web Designers, and Illustrators",3,Manufacturing
2325,Interior Designers,1,"Professional, Scientific and Technical Services"
2325,Interior Designers,2,Construction
2325,Interior Designers,3,Retail Trade
2326,Urban and Regional Planners,1,Public Administration and Safety
2326,Urban and Regional Planners,2,"Professional, Scientific and Technical Services"
2331,Chemical and Materials Engineers,1,Manufacturing
2331,Chemical and Materials Engineers,2,"Professional, Scientific and Technical Services"
2331,Chemical and Materials Engineers,3,"Electricity, Gas, Water and Waste Services"
2332,Civil Engineering Professionals,1,"Professional, Scientific and Technical Services"
2332,Civil Engineering Professionals,2,Construction
2332,Civil Engineering Professionals,3,Public Administration and Safety
2333,Electrical Engineers,1,"Professional, Scientific and Technical Services"
2333,Electrical Engineers,2,"Electricity, Gas, Water and Waste Services"
2333,Electrical Engineers,3,Manufacturing
2334,Electronics Engineers,1,Manufacturing
2334,Electronics Engineers,2,"Professional, Scientific and Technical Services"
2334,Electronics Engineers,3,Information Media and Telecommunications
2335,"Industrial, Mechanical and Production Engineers",1,"Professional, Scientific and Technical Services"
2335,"Industrial, Mechanical and Production Engineers",2,Manufacturing
2335,"Industrial, Mechanical and Production Engineers",3,Mining
2336,Mining Engineers,1,Mining
2336,Mining Engineers,2,"Professional, Scientific and Technical Services"
2336,Mining Engineers,3,Wholesale Trade
2339,Other Engineering Professionals,1,"Professional, Scientific and Technical Services"
2339,Other Engineering Professionals,2,Manufacturing
2339,Other Engineering Professionals,3,Public Administration and Safety
2341,Agricultural and Forestry Scientists,1,"Agriculture, Forestry and Fishing"
2341,Agricultural and Forestry Scientists,2,"Professional, Scientific and Technical Services"
2341,Agricultural and Forestry Scientists,3,Public Administration and Safety
2342,"Chemists, and Food and Wine Scientists",1,Manufacturing
2342,"Chemists, and Food and Wine Scientists",2,"Professional, Scientific and Technical Services"
2342,"Chemists, and Food and Wine Scientists",3,Education and Training
2343,Environmental Scientists,1,"Professional, Scientific and Technical Services"
2343,Environmental Scientists,2,Public Administration and Safety
2343,Environmental Scientists,3,Arts and Recreation Services
2344,"Geologists, Geophysicists and Hydrogeologists",1,Mining
2344,"Geologists, Geophysicists and Hydrogeologists",2,"Professional, Scientific and Technical Services"
2345,Life Scientists,1,"Professional, Scientific and Technical Services"
2345,Life Scientists,2,Health Care and Social Assistance
2345,Life Scientists,3,Education and Training
2346,Medical Laboratory Scientists,1,Health Care and Social Assistance
2346,Medical Laboratory Scientists,2,"Professional, Scientific and Technical Services"
2346,Medical Laboratory Scientists,3,Education and Training
2347,Veterinarians,1,"Professional, Scientific and Technical Services"
2347,Veterinarians,2,Public Administration and Safety
2349,Other Natural and Physical Science Professionals,1,Health Care and Social Assistance
2349,Other Natural and Physical Science Professionals,2,"Professional, Scientific and Technical Services"
2349,Other Natural and Physical Science Professionals,3,Public Administration and Safety
2411,Early Childhood (Pre-primary School) Teachers,1,Education and Training
2411,Early Childhood (Pre-primary School) Teachers,2,Health Care and Social Assistance
2412,Primary School Teachers,1,Education and Training
2413,Middle School Teachers,1,Education and Training
2414,Secondary School Teachers,1,Education and Training
2415,Special Education Teachers,1,Education and Training
2421,University Lecturers and Tutors,1,Education and Training
2422,Vocational Education Teachers,1,Education and Training
2422,Vocational Education Teachers,2,Public Administration and Safety
2491,Education Advisers and Reviewers,1,Education and Training
2491,Education Advisers and Reviewers,2,Public Administration and Safety
2491,Education Advisers and Reviewers,3,"Professional, Scientific and Technical Services"
2492,Private Tutors and Teachers,1,Education and Training
2493,Teachers of English to Speakers of Other Languages,1,Education and Training
2493,Teachers of English to Speakers of Other Languages,2,Health Care and Social Assistance
2511,Nutrition Professionals,1,Health Care and Social Assistance
2511,Nutrition Professionals,2,Retail Trade
2512,Medical Imaging Professionals,1,Health Care and Social Assistance
2513,Occupational and Environmental Health Professionals,1,Public Administration and Safety
2513,Occupational and Environmental Health Professionals,2,Construction
2513,Occupational and Environmental Health Professionals,3,"Professional, Scientific and Technical Services"
2514,Optometrists and Orthoptists,1,Health Care and Social Assistance
2514,Optometrists and Orthoptists,2,Education and Training
2515,Pharmacists,1,Retail Trade
2515,Pharmacists,2,Health Care and Social Assistance
2519,Other Health Diagnostic and Promotion Professionals,1,Health Care and Social Assistance
2519,Other Health Diagnostic and Promotion Professionals,2,Public Administration and Safety
2519,Other Health Diagnostic and Promotion Professionals,3,Education and Training
2521,Chiropractors and Osteopaths,1,Health Care and Social Assistance
2522,Complementary Health Therapists,1,Health Care and Social Assistance
2523,Dental Practitioners,1,Health Care and Social Assistance
2524,Occupational Therapists,1,Health Care and Social Assistance
2525,Physiotherapists,1,Health Care and Social Assistance
2526,Podiatrists,1,Health Care and Social Assistance
2527,Audiologists and Speech Pathologists \ Therapists,1,Health Care and Social Assistance
2527,Audiologists and Speech Pathologists \ Therapists,2,Public Administration and Safety
2531,General Practitioners and Resident Medical Officers,1,Health Care and Social Assistance
2532,Anaesthetists,1,Health Care and Social Assistance
2533,Specialist Physicians,1,Health Care and Social Assistance
2534,Psychiatrists,1,Health Care and Social Assistance
2535,Surgeons,1,Health Care and Social Assistance
2539,Other Medical Practitioners,1,Health Care and Social Assistance
2541,Midwives,1,Health Care and Social Assistance
2542,Nurse Educators and Researchers,1,Health Care and Social Assistance
2542,Nurse Educators and Researchers,2,Education and Training
2543,Nurse Managers,1,Health Care and Social Assistance
2544,Registered Nurses,1,Health Care and Social Assistance
2611,ICT Business and Systems Analysts,1,"Professional, Scientific and Technical Services"
2611,ICT Business and Systems Analysts,2,Financial and Insurance Services
2611,ICT Business and Systems Analysts,3,Public Administration and Safety
2612,Multimedia Specialists and Web Developers,1,"Professional, Scientific and Technical Services"
2612,Multimedia Specialists and Web Developers,2,Information Media and Telecommunications
2612,Multimedia Specialists and Web Developers,3,Arts and Recreation Services
2613,Software and Applications Programmers,1,"Professional, Scientific and Technical Services"
2613,Software and Applications Programmers,2,Financial and Insurance Services
2613,Software and Applications Programmers,3,Public Administration and Safety
2621,"Database and Systems Administrators, and ICT Security Specialists",1,"Professional, Scientific and Technical Services"
2621,"Database and Systems Administrators, and ICT Security Specialists",2,Public Administration and Safety
2621,"Database and Systems Administrators, and ICT Security Specialists",3,Health Care and Social Assistance
2631,Computer Network Professionals,1,"Professional, Scientific and Technical Services"
2631,Computer Network Professionals,2,Public Administration and Safety
2631,Computer Network Professionals,3,Financial and Insurance Services
2632,ICT Support and Test Engineers,1,"Professional, Scientific and Technical Services"
2632,ICT Support and Test Engineers,2,Financial and Insurance Services
2632,ICT Support and Test Engineers,3,Public Administration and Safety
2633,Telecommunications Engineering Professionals,1,Information Media and Telecommunications
2633,Telecommunications Engineering Professionals,2,"Professional, Scientific and Technical Services"
2633,Telecommunications Engineering Professionals,3,Manufacturing
2711,Barristers,1,"Professional, Scientific and Technical Services"
2711,Barristers,2,Public Administration and Safety
2712,Judicial and Other Legal Professionals,1,Public Administration and Safety
2712,Judicial and Other Legal Professionals,2,"Professional, Scientific and Technical Services"
2712,Judicial and Other Legal Professionals,3,Financial and Insurance Services
2713,Solicitors,1,"Professional, Scientific and Technical Services"
2713,Solicitors,2,Public Administration and Safety
2721,Counsellors,1,Health Care and Social Assistance
2721,Counsellors,2,Education and Training
2721,Counsellors,3,Public Administration and Safety
2722,Ministers of Religion,1,Other Services
2722,Ministers of Religion,2,Education and Training
2722,Ministers of Religion,3,Health Care and Social Assistance
2723,Psychologists and Psychotherapists,1,Health Care and Social Assistance
2723,Psychologists and Psychotherapists,2,Education and Training
2723,Psychologists and Psychotherapists,3,Public Administration and Safety
2724,Social Professionals,1,"Professional, Scientific and Technical Services"
2724,Social Professionals,2,Education and Training
2724,Social Professionals,3,Public Administration and Safety
2725,Social Workers,1,Health Care and Social Assistance
2725,Social Workers,2,Public Administration and Safety
2726,"Welfare, Recreation and Community Arts Workers",1,Health Care and Social Assistance
2726,"Welfare, Recreation and Community Arts Workers",2,Public Administration and Safety
3111,Agricultural Technicians,1,"Agriculture, Forestry and Fishing"
3111,Agricultural Technicians,2,"Professional, Scientific and Technical Services"
3111,Agricultural Technicians,3,Education and Training
3112,Medical Technicians,1,Health Care and Social Assistance
3112,Medical Technicians,2,Retail Trade
3112,Medical Technicians,3,"Professional, Scientific and Technical Services"
3113,Primary Products Inspectors,1,Public Administration and Safety
3113,Primary Products Inspectors,2,"Professional, Scientific and Technical Services"
3113,Primary Products Inspectors,3,"Electricity, Gas, Water and Waste Services"
3114,Science Technicians,1,Education and Training
3114,Science Technicians,2,"Professional, Scientific and Technical Services"
3114,Science Technicians,3,Public Administration and Safety
3121,"Architectural, Building and Surveying Technicians",1,Construction
3121,"Architectural, Building and Surveying Technicians",2,"Professional, Scientific and Technical Services"
3121,"Architectural, Building and Surveying Technicians",3,Manufacturing
3122,Civil Engineering Draftspersons and Technicians,1,"Professional, Scientific and Technical Services"
3122,Civil Engineering Draftspersons and Technicians,2,Construction
3122,Civil Engineering Draftspersons and Technicians,3,Manufacturing
3123,"Electrical Engineering Draftspersons, Technicians",1,Manufacturing
3123,"Electrical Engineering Draftspersons, Technicians",2,"Electricity, Gas, Water and Waste Services"
3123,"Electrical Engineering Draftspersons, Technicians",3,Construction
3124,"Electronic Engineering Draftspersons, Technicians",1,Manufacturing
3124,"Electronic Engineering Draftspersons, Technicians",2,Information Media and Telecommunications
3124,"Electronic Engineering Draftspersons, Technicians",3,"Professional, Scientific and Technical Services"
3125,"Mechanical Engineering Draftspersons, Technicians",1,"Professional, Scientific and Technical Services"
3125,"Mechanical Engineering Draftspersons, Technicians",2,Mining
3125,"Mechanical Engineering Draftspersons, Technicians",3,Manufacturing
3126,Safety Inspectors,1,Public Administration and Safety
3126,Safety Inspectors,2,"Professional, Scientific and Technical Services"
3126,Safety Inspectors,3,Construction
3129,Other Building and Engineering Technicians,1,Mining
3129,Other Building and Engineering Technicians,2,Manufacturing
3129,Other Building and Engineering Technicians,3,"Electricity, Gas, Water and Waste Services"
3131,ICT Support Technicians,1,"Professional, Scientific and Technical Services"
3131,ICT Support Technicians,2,Public Administration and Safety
3131,ICT Support Technicians,3,Education and Training
3132,Telecommunications Technical Specialists,1,Information Media and Telecommunications
3132,Telecommunications Technical Specialists,2,Public Administration and Safety
3132,Telecommunications Technical Specialists,3,"Transport, Postal and Warehousing"
3211,Automotive Electricians,1,Other Services
3211,Automotive Electricians,2,Mining
3211,Automotive Electricians,3,Manufacturing
3212,Motor Mechanics,1,Other Services
3212,Motor Mechanics,2,Retail Trade
3221,"Metal Casting, Forging and Finishing Trades",1,"Agriculture, Forestry and Fishing"
3221,"Metal Casting, Forging and Finishing Trades",2,Manufacturing
3222,Sheetmetal Trades Workers,1,Manufacturing
3222,Sheetmetal Trades Workers,2,Construction
3222,Sheetmetal Trades Workers,3,"Transport, Postal and Warehousing"
3223,Structural Steel and Welding Trades Workers,1,Manufacturing
3223,Structural Steel and Welding Trades Workers,2,Construction
3223,Structural Steel and Welding Trades Workers,3,Mining
3231,Aircraft Maintenance Engineers,1,"Transport, Postal and Warehousing"
3231,Aircraft Maintenance Engineers,2,Manufacturing
3231,Aircraft Maintenance Engineers,3,Public Administration and Safety
3232,Metal Fitters and Machinists,1,Manufacturing
3232,Metal Fitters and Machinists,2,Mining
3232,Metal Fitters and Machinists,3,Other Services
3233,Precision Metal Trades Workers,1,Public Administration and Safety
3233,Precision Metal Trades Workers,2,Other Services
3233,Precision Metal Trades Workers,3,Manufacturing
3234,Toolmakers and Engineering Patternmakers,1,Manufacturing
3234,Toolmakers and Engineering Patternmakers,2,Retail Trade
3241,Panelbeaters,1,Other Services
3242,Vehicle Body Builders and Trimmers,1,Other Services
3242,Vehicle Body Builders and Trimmers,2,Manufacturing
3243,Vehicle Painters,1,Other Services
3243,Vehicle Painters,2,Manufacturing
3311,Bricklayers and Stonemasons,1,Construction
3311,Bricklayers and Stonemasons,2,Manufacturing
3312,Carpenters and Joiners,1,Construction
3312,Carpenters and Joiners,2,Manufacturing
3321,Floor Finishers,1,Construction
3322,Painting Trades Workers,1,Construction
3331,Glaziers,1,Construction
3331,Glaziers,2,Manufacturing
3332,Plasterers,1,Construction
3333,Roof Tilers,1,Construction
3334,Wall and Floor Tilers,1,Construction
3341,Plumbers,1,Construction
3411,Electricians,1,Construction
3411,Electricians,2,Mining
3411,Electricians,3,"Electricity, Gas, Water and Waste Services"
3421,Airconditioning and Refrigeration Mechanics,1,Construction
3421,Airconditioning and Refrigeration Mechanics,2,Other Services
3422,Electrical Distribution Trades Workers,1,"Electricity, Gas, Water and Waste Services"
3422,Electrical Distribution Trades Workers,2,Construction
3423,Electronics Trades Workers,1,Construction
3423,Electronics Trades Workers,2,Other Services
3423,Electronics Trades Workers,3,"Professional, Scientific and Technical Services"
3424,Telecommunications Trades Workers,1,Information Media and Telecommunications
3424,Telecommunications Trades Workers,2,Construction
3424,Telecommunications Trades Workers,3,Other Services
3511,Bakers and Pastrycooks,1,Manufacturing
3511,Bakers and Pastrycooks,2,Retail Trade
3511,Bakers and Pastrycooks,3,Accommodation and Food Services
3512,Butchers and Smallgoods Makers,1,Retail Trade
3512,Butchers and Smallgoods Makers,2,Manufacturing
3513,Chefs,1,Accommodation and Food Services
3514,Cooks,1,Accommodation and Food Services
3514,Cooks,2,Health Care and Social Assistance
3514,Cooks,3,Retail Trade
3611,Animal Attendants and Trainers,1,Other Services
3611,Animal Attendants and Trainers,2,Arts and Recreation Services
3611,Animal Attendants and Trainers,3,Education and Training
3612,Shearers,1,"Agriculture, Forestry and Fishing"
3613,Veterinary Nurses,1,"Professional, Scientific and Technical Services"
3621,Florists,1,Retail Trade
3621,Florists,2,"Agriculture, Forestry and Fishing"
3622,Gardeners,1,Construction
3622,Gardeners,2,Administrative and Support Services
3622,Gardeners,3,Arts and Recreation Services
3623,Greenkeepers,1,Arts and Recreation Services
3623,Greenkeepers,2,Education and Training
3623,Greenkeepers,3,Administrative and Support Services
3624,Nurserypersons,1,"Agriculture, Forestry and Fishing"
3624,Nurserypersons,2,Wholesale Trade
3624,Nurserypersons,3,Retail Trade
3911,Hairdressers,1,Other Services
3921,Print Finishers and Screen Printers,1,Manufacturing
3921,Print Finishers and Screen Printers,2,Education and Training
3922,Graphic Pre-press Trades Workers,1,"Professional, Scientific and Technical Services"
3922,Graphic Pre-press Trades Workers,2,Mining
3922,Graphic Pre-press Trades Workers,3,Arts and Recreation Services
3923,Printers,1,Manufacturing
3923,Printers,2,Information Media and Telecommunications
3923,Printers,3,Financial and Insurance Services
3931,Canvas and Leather Goods Makers,1,Manufacturing
3931,Canvas and Leather Goods Makers,2,Other Services
3931,Canvas and Leather Goods Makers,3,Retail Trade
3932,Clothing Trades Workers,1,Manufacturing
3932,Clothing Trades Workers,2,Other Services
3932,Clothing Trades Workers,3,Retail Trade
3933,Upholsterers,1,Manufacturing
3941,Cabinetmakers,1,Manufacturing
3941,Cabinetmakers,2,Construction
3942,Wood Machinists and Other Wood Trades Workers,1,Retail Trade
3942,Wood Machinists and Other Wood Trades Workers,2,Wholesale Trade
3942,Wood Machinists and Other Wood Trades Workers,3,Manufacturing
3991,Boat Builders and Shipwrights,1,Manufacturing
3991,Boat Builders and Shipwrights,2,"Transport, Postal and Warehousing"
3991,Boat Builders and Shipwrights,3,Arts and Recreation Services
3992,"Chemical, Gas, Petroleum and Power Plant Operators",1,"Electricity, Gas, Water and Waste Services"
3992,"Chemical, Gas, Petroleum and Power Plant Operators",2,Manufacturing
3992,"Chemical, Gas, Petroleum and Power Plant Operators",3,Mining
3993,"Gallery, Library and Museum Technicians",1,Information Media and Telecommunications
3993,"Gallery, Library and Museum Technicians",2,Education and Training
3994,Jewellers,1,Manufacturing
3994,Jewellers,2,Retail Trade
3994,Jewellers,3,"Professional, Scientific and Technical Services"
3995,Performing Arts Technicians,1,Information Media and Telecommunications
3995,Performing Arts Technicians,2,"Professional, Scientific and Technical Services"
3995,Performing Arts Technicians,3,Other Services
3996,Signwriters,1,"Professional, Scientific and Technical Services"
3996,Signwriters,2,Manufacturing
3996,Signwriters,3,Construction
3999,Other Miscellaneous Technicians and Trades Workers,1,Health Care and Social Assistance
3999,Other Miscellaneous Technicians and Trades Workers,2,Construction
3999,Other Miscellaneous Technicians and Trades Workers,3,Public Administration and Safety
4111,Ambulance Officers and Paramedics,1,Health Care and Social Assistance
4112,"Dental Hygienists, Technicians and Therapists",1,Health Care and Social Assistance
4112,"Dental Hygienists, Technicians and Therapists",2,Manufacturing
4113,Diversional Therapists,1,Health Care and Social Assistance
4114,Enrolled and Mothercraft Nurses,1,Health Care and Social Assistance
4115,Indigenous Health Workers,1,Health Care and Social Assistance
4115,Indigenous Health Workers,2,Other Services
4115,Indigenous Health Workers,3,Public Administration and Safety
4116,Massage Therapists,1,Health Care and Social Assistance
4117,Welfare Support Workers,1,Health Care and Social Assistance
4117,Welfare Support Workers,2,Public Administration and Safety
4211,Child Carers,1,Health Care and Social Assistance
4211,Child Carers,2,Education and Training
4221,Education Aides,1,Education and Training
4231,Aged and Disabled Carers,1,Health Care and Social Assistance
4232,Dental Assistants,1,Health Care and Social Assistance
4233,Nursing Support and Personal Care Workers,1,Health Care and Social Assistance
4234,Special Care Workers,1,Health Care and Social Assistance
4234,Special Care Workers,2,Education and Training
4234,Special Care Workers,3,Accommodation and Food Services
4311,Bar Attendants and Baristas,1,Accommodation and Food Services
4312,Cafe Workers,1,Accommodation and Food Services
4313,Gaming Workers,1,Arts and Recreation Services
