state,anzsic_level,nfd_indicator,code_text,anzsic_title,covid_adjusted,industry_1_digit_code,trend_data_for_feb_2026_000,qtr_change_to_feb_2026_000s,qtr_change_to_feb_2026_pct,1_year_change_to_feb_2026_000s,1_year_change_to_feb_2026_pct,5_year_change_to_feb_2026_000s,5_year_change_to_feb_2026_pct,10_year_change_to_feb_2026_000s,10_year_change_to_feb_2026_pct,share_of_state_emp_pct,share_of_industry_emp_pct
ACT,1,N,O,Public Administration and Safety,,O,77.2369881377607,0.232662278751874,0.302141829249785,0.80266762632597,1.05014033088171,5.28700609535265,7.34816874900182,11.9462540199856,18.2970128631672,27.7373273204016,7.81234152245546
ACT,1,N,P,Education and Training,,P,26.4528866496494,0.277368505474126,1.0596485767593,1.12996504217009,4.46222224941195,4.60227096952057,21.0624315437753,7.81126601896866,41.9022904377355,9.49975385189949,2.00902618171936
ACT,1,N,Q,Health Care and Social Assistance,,Q,37.4371682180667,0.384766518093073,1.03843880677065,1.57526063954874,4.39257347395642,7.90267796031758,26.7574550681271,14.3785293842631,62.356366687111,13.4444262244061,1.55942260600767
ACT,1,N,R,Arts and Recreation Services,Y,R,5.46192542386938,-0.0245431175714543,-0.44733907405234,-0.0697396649539508,-1.26073548984119,,0,0.66840633936656,13.9439590743986,1.96148525381741,2.03745093940054
ACT,1,N,S,Other Services,Y,S,7.12504569187161,-0.0457638958382018,-0.638197058204383,-0.193752030813155,-2.64732047741416,-0.922597059406819,-11.4641900482009,0.264126023489503,3.84971747602151,2.55874457683106,1.27284814822806
NSW,1,N,A,"Agriculture, Forestry and Fishing",,A,73.3776601483782,-0.490409268329572,-0.663898856707698,-2.03347201221156,-2.6965143659178,-8.4952634240868,-10.3761574076046,-8.58807849880456,-10.4776442456909,1.60348248216268,24.9760133199562
NSW,1,N,B,Mining,,B,35.8440623922389,0.108050745853724,0.302358156032932,0.379947597407742,1.0713579053244,-0.487628737818326,-1.34215810674145,-3.79347605641451,-9.57041280787046,0.783280987963902,11.409379407556
NSW,1,N,C,Manufacturing,,C,273.322002282829,3.83956767122606,1.42479329933319,12.5149604678781,4.79855159614816,19.1005541013485,7.51335272376911,0.982201175509488,0.360652821040447,5.97275849030775,30.5024717055381
NSW,1,N,D,"Electricity, Gas, Water and Waste Services",,D,48.7668718417731,0.411097458687841,0.850151742852954,1.62370175354459,3.44419297748929,6.35236794702324,14.9768766900738,9.36990197514176,23.7833061955304,1.065676181961,23.1018194124126
NSW,1,N,E,Construction,,E,431.877363401279,2.82881134508523,0.659321965201442,11.5195125416568,2.74040618442111,60.6265921464151,16.3303612653763,100.412308090558,30.2934823691838,9.43758339058814,31.3170414323973
NSW,1,N,F,Wholesale Trade,,F,102.378630528191,-1.5817091144642,-1.52145435451735,-6.07712037361703,-5.60331777991103,-18.3919704474148,-15.228847334402,-29.5027946850712,-22.370697493876,2.23722506642763,30.5390426743657
NSW,1,N,G,Retail Trade,Y,G,415.462839148175,0.173887465184691,0.0418714402297483,0.570283849906616,0.137453382236911,11.4622342138934,2.83718243831787,33.483023341,8.76565251759335,9.07888563380952,30.7644116098942
NSW,1,N,H,Accommodation and Food Services,Y,H,295.083406185932,-0.120514572109755,-0.040824177334871,-0.783971607098749,-0.264973993735519,,0,26.1912895584164,9.74044530829368,6.44829872796774,30.4958334930978
NSW,1,N,I,"Transport, Postal and Warehousing",Y,I,240.398148364922,1.03350504006232,0.431770133511187,3.87353290604807,1.63768701136376,23.0461900226664,10.6031664947672,42.0983325241199,21.2296377309382,5.25329124515585,31.9215465756095
NSW,1,N,J,Information Media and Telecommunications,,J,71.0070870049535,-0.0859540568901451,-0.120903615327658,-0.417076029566331,-0.583942480872692,-5.77856980779632,-7.52558491736027,-11.7740241210703,-14.2230805565606,1.55167962417456,39.1765162445041
NSW,1,N,K,Financial and Insurance Services,,K,246.821742189385,0.462080271942455,0.187563283837149,2.20799994693627,0.90264754821003,31.8897688222717,14.8371451314051,64.0901257028072,35.0733643882118,5.393662580917,44.3966948440015
NSW,1,N,L,"Rental, Hiring and Real Estate Services",,L,81.4595804372377,0.135585621119318,0.166722775271789,0.675321939796873,0.835957341637624,8.44269691722418,11.5626640171654,11.2444125635112,16.0142215763594,1.78009233288858,35.3946427652691
NSW,1,N,M,"Professional, Scientific and Technical Services",,M,500.710620392252,6.75744395229952,1.3680333024685,24.4557542572438,5.13501404315543,76.7432521548437,18.1012167219129,140.972396051783,39.1874942703785,10.9417594784061,35.5602494539317
NSW,1,N,N,Administrative and Support Services,,N,129.205689941287,0.204868497799794,0.158811777713789,0.545595953106982,0.424059967776104,-2.69108425390272,-2.04029573150914,0.273273497985855,0.211950962779037,2.82346234531949,29.3334642795162
