classification_level,asced_field_code,field_name,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,detailed_field_code,detailed_field_name,data_source
detailed,030103,Printing,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030103,Printing,ASCED 2001
detailed,030105,Textile Making,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030105,Textile Making,ASCED 2001
detailed,030107,Garment Making,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030107,Garment Making,ASCED 2001
detailed,030109,Footwear Making,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030109,Footwear Making,ASCED 2001
detailed,030111,Wood Machining and Turning,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030111,Wood Machining and Turning,ASCED 2001
detailed,030113,Cabinet Making,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030113,Cabinet Making,ASCED 2001
detailed,030115,Furniture Upholstery and Renovation,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030115,Furniture Upholstery and Renovation,ASCED 2001
detailed,030117,Furniture Polishing,03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030117,Furniture Polishing,ASCED 2001
detailed,030199,"Manufacturing Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0301,Manufacturing Engineering and Technology,030199,"Manufacturing Engineering and Technology, n.e.c.",ASCED 2001
narrow,0303,Process and Resources Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,,,ASCED 2001
detailed,030301,Chemical Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,030301,Chemical Engineering,ASCED 2001
detailed,030303,Mining Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,030303,Mining Engineering,ASCED 2001
detailed,030305,Materials Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,030305,Materials Engineering,ASCED 2001
detailed,030307,Food Processing Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,030307,Food Processing Technology,ASCED 2001
detailed,030399,"Process and Resources Engineering, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0303,Process and Resources Engineering,030399,"Process and Resources Engineering, n.e.c.",ASCED 2001
narrow,0305,Automotive Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,,,ASCED 2001
detailed,030501,Automotive Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030501,Automotive Engineering,ASCED 2001
detailed,030503,Vehicle Mechanics,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030503,Vehicle Mechanics,ASCED 2001
detailed,030505,Automotive Electrics and Electronics,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030505,Automotive Electrics and Electronics,ASCED 2001
detailed,030507,Automotive Vehicle Refinishing,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030507,Automotive Vehicle Refinishing,ASCED 2001
detailed,030509,Automotive Body Construction,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030509,Automotive Body Construction,ASCED 2001
detailed,030511,Panel Beating,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030511,Panel Beating,ASCED 2001
detailed,030513,Upholstery and Vehicle Trimming,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030513,Upholstery and Vehicle Trimming,ASCED 2001
detailed,030515,Automotive Vehicle Operations,03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030515,Automotive Vehicle Operations,ASCED 2001
detailed,030599,"Automotive Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0305,Automotive Engineering and Technology,030599,"Automotive Engineering and Technology, n.e.c.",ASCED 2001
narrow,0307,Mechanical and Industrial Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,,,ASCED 2001
detailed,030701,Mechanical Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030701,Mechanical Engineering,ASCED 2001
detailed,030703,Industrial Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030703,Industrial Engineering,ASCED 2001
detailed,030705,Toolmaking,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030705,Toolmaking,ASCED 2001
detailed,030707,"Metal Fitting, Turning and Machining",03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030707,"Metal Fitting, Turning and Machining",ASCED 2001
detailed,030709,Sheetmetal Working,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030709,Sheetmetal Working,ASCED 2001
detailed,030711,Boilermaking and Welding,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030711,Boilermaking and Welding,ASCED 2001
detailed,030713,Metal Casting and Patternmaking,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030713,Metal Casting and Patternmaking,ASCED 2001
detailed,030715,Precision Metalworking,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030715,Precision Metalworking,ASCED 2001
detailed,030717,Plant and Machine Operations,03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030717,Plant and Machine Operations,ASCED 2001
