level,state,region,anzsco_code,anzsco_title,date,vacancies
3,SA,Fleurieu Peninsula & Murray Mallee,1B,"Construction, Production and Distribution Managers",2026-07-01,11
3,SA,Fleurieu Peninsula & Murray Mallee,1C,"Health, Education, ICT and Other Managers",2026-07-01,4.333
2,SA,Fleurieu Peninsula & Murray Mallee,2,PROFESSIONALS,2026-07-01,266.667
3,SA,Fleurieu Peninsula & Murray Mallee,21,Arts and Media Professionals,2026-07-01,2
3,SA,Fleurieu Peninsula & Murray Mallee,24,Education Professionals,2026-07-01,8.667
3,SA,Fleurieu Peninsula & Murray Mallee,26,ICT Professionals,2026-07-01,2.333
3,SA,Fleurieu Peninsula & Murray Mallee,27,"Legal, Social and Welfare Professionals",2026-07-01,52.333
3,SA,Fleurieu Peninsula & Murray Mallee,2A,"Business, Finance and Human Resource Professionals",2026-07-01,15.333
3,SA,Fleurieu Peninsula & Murray Mallee,2B,Information Professionals,2026-07-01,2.667
3,SA,Fleurieu Peninsula & Murray Mallee,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,2.333
3,SA,Fleurieu Peninsula & Murray Mallee,2D,"Transport and Design Professionals, and Architects",2026-07-01,0.333
3,SA,Fleurieu Peninsula & Murray Mallee,2E,Engineers,2026-07-01,6
3,SA,Fleurieu Peninsula & Murray Mallee,2F,Science Professionals and Veterinarians,2026-07-01,6.333
3,SA,Fleurieu Peninsula & Murray Mallee,2G,Health Diagnostic and Therapy Professionals,2026-07-01,50.667
3,SA,Fleurieu Peninsula & Murray Mallee,2H,Medical Practitioners and Nurses,2026-07-01,117.667
2,SA,Fleurieu Peninsula & Murray Mallee,3,TECHNICIANS AND TRADES WORKERS,2026-07-01,129.667
3,SA,Fleurieu Peninsula & Murray Mallee,31,"Engineering, ICT and Science Technicians",2026-07-01,22
3,SA,Fleurieu Peninsula & Murray Mallee,32,Automotive and Engineering Trades Workers,2026-07-01,34
3,SA,Fleurieu Peninsula & Murray Mallee,33,Construction Trades Workers,2026-07-01,8.333
3,SA,Fleurieu Peninsula & Murray Mallee,34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,16.333
3,SA,Fleurieu Peninsula & Murray Mallee,35,Food Trades Workers,2026-07-01,35
3,SA,Fleurieu Peninsula & Murray Mallee,36,Skilled Animal and Horticultural Workers,2026-07-01,7
3,SA,Fleurieu Peninsula & Murray Mallee,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,4.667
3,SA,Fleurieu Peninsula & Murray Mallee,3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,2.333
2,SA,Fleurieu Peninsula & Murray Mallee,4,COMMUNITY AND PERSONAL SERVICE WORKERS,2026-07-01,131.667
3,SA,Fleurieu Peninsula & Murray Mallee,41,Health and Welfare Support Workers,2026-07-01,24
3,SA,Fleurieu Peninsula & Murray Mallee,42,Carers and Aides,2026-07-01,72
3,SA,Fleurieu Peninsula & Murray Mallee,43,Hospitality Workers,2026-07-01,21.333
3,SA,Fleurieu Peninsula & Murray Mallee,44,Protective Service Workers,2026-07-01,3.667
3,SA,Fleurieu Peninsula & Murray Mallee,45,"Sports, Travel and Personal Service Workers",2026-07-01,10.667
2,SA,Fleurieu Peninsula & Murray Mallee,5,CLERICAL AND ADMINISTRATIVE WORKERS,2026-07-01,107.667
3,SA,Fleurieu Peninsula & Murray Mallee,55,Numerical Clerks,2026-07-01,11.333
3,SA,Fleurieu Peninsula & Murray Mallee,56,Clerical and Office Support Workers,2026-07-01,8.667
3,SA,Fleurieu Peninsula & Murray Mallee,59,Other Clerical and Administrative Workers,2026-07-01,15.333
3,SA,Fleurieu Peninsula & Murray Mallee,5A,"Office Managers, Administrators and Secretaries",2026-07-01,6.333
3,SA,Fleurieu Peninsula & Murray Mallee,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",2026-07-01,66
2,SA,Fleurieu Peninsula & Murray Mallee,6,SALES WORKERS,2026-07-01,87.667
3,SA,Fleurieu Peninsula & Murray Mallee,61,Sales Representatives and Agents,2026-07-01,9.333
3,SA,Fleurieu Peninsula & Murray Mallee,62,Sales Assistants and Salespersons,2026-07-01,57.667
3,SA,Fleurieu Peninsula & Murray Mallee,63,Sales Support Workers,2026-07-01,20.667
2,SA,Fleurieu Peninsula & Murray Mallee,7,MACHINERY OPERATORS AND DRIVERS,2026-07-01,60
3,SA,Fleurieu Peninsula & Murray Mallee,71,Machine and Stationary Plant Operators,2026-07-01,9.667
3,SA,Fleurieu Peninsula & Murray Mallee,72,Mobile Plant Operators,2026-07-01,17
3,SA,Fleurieu Peninsula & Murray Mallee,7A,Drivers and Storepersons,2026-07-01,33.333
2,SA,Fleurieu Peninsula & Murray Mallee,8,LABOURERS,2026-07-01,107.333
3,SA,Fleurieu Peninsula & Murray Mallee,81,Cleaners and Laundry Workers,2026-07-01,22
3,SA,Fleurieu Peninsula & Murray Mallee,82,Construction and Mining Labourers,2026-07-01,5.667
3,SA,Fleurieu Peninsula & Murray Mallee,83,Factory Process Workers,2026-07-01,14.333
3,SA,Fleurieu Peninsula & Murray Mallee,84,"Farm, Forestry and Garden Workers",2026-07-01,22.333
3,SA,Fleurieu Peninsula & Murray Mallee,85,Food Preparation Assistants,2026-07-01,7.333
3,SA,Fleurieu Peninsula & Murray Mallee,89,Other Labourers,2026-07-01,35.667
1,SA,Port Augusta & Eyre Peninsula,0,Port Augusta & Eyre Peninsula TOTAL,2026-07-01,689.333
2,SA,Port Augusta & Eyre Peninsula,1,MANAGERS,2026-07-01,48.667
3,SA,Port Augusta & Eyre Peninsula,11,"Chief Executives, Managing Directors & Legislators",2026-07-01,1.333
3,SA,Port Augusta & Eyre Peninsula,12,Farmers and Farm Managers,2026-07-01,1
3,SA,Port Augusta & Eyre Peninsula,14,"Hospitality, Retail and Service Managers",2026-07-01,26
3,SA,Port Augusta & Eyre Peninsula,1A,Corporate Managers,2026-07-01,8.667
3,SA,Port Augusta & Eyre Peninsula,1B,"Construction, Production and Distribution Managers",2026-07-01,8.333
3,SA,Port Augusta & Eyre Peninsula,1C,"Health, Education, ICT and Other Managers",2026-07-01,3.333
2,SA,Port Augusta & Eyre Peninsula,2,PROFESSIONALS,2026-07-01,235
3,SA,Port Augusta & Eyre Peninsula,21,Arts and Media Professionals,2026-07-01,1.667
3,SA,Port Augusta & Eyre Peninsula,24,Education Professionals,2026-07-01,3
3,SA,Port Augusta & Eyre Peninsula,26,ICT Professionals,2026-07-01,0.667
3,SA,Port Augusta & Eyre Peninsula,27,"Legal, Social and Welfare Professionals",2026-07-01,41.333
3,SA,Port Augusta & Eyre Peninsula,2A,"Business, Finance and Human Resource Professionals",2026-07-01,8.667
3,SA,Port Augusta & Eyre Peninsula,2B,Information Professionals,2026-07-01,2.667
3,SA,Port Augusta & Eyre Peninsula,2C,"Sales, Marketing & Public Relations Professionals",2026-07-01,0
3,SA,Port Augusta & Eyre Peninsula,2D,"Transport and Design Professionals, and Architects",2026-07-01,3.333
3,SA,Port Augusta & Eyre Peninsula,2E,Engineers,2026-07-01,8.667
3,SA,Port Augusta & Eyre Peninsula,2F,Science Professionals and Veterinarians,2026-07-01,6.667
3,SA,Port Augusta & Eyre Peninsula,2G,Health Diagnostic and Therapy Professionals,2026-07-01,39.667
3,SA,Port Augusta & Eyre Peninsula,2H,Medical Practitioners and Nurses,2026-07-01,118.667
2,SA,Port Augusta & Eyre Peninsula,3,TECHNICIANS AND TRADES WORKERS,2026-07-01,113
3,SA,Port Augusta & Eyre Peninsula,31,"Engineering, ICT and Science Technicians",2026-07-01,13.333
3,SA,Port Augusta & Eyre Peninsula,32,Automotive and Engineering Trades Workers,2026-07-01,46.667
3,SA,Port Augusta & Eyre Peninsula,33,Construction Trades Workers,2026-07-01,7.333
3,SA,Port Augusta & Eyre Peninsula,34,Electrotechnology and Telecommunications Trades Workers,2026-07-01,22.333
3,SA,Port Augusta & Eyre Peninsula,35,Food Trades Workers,2026-07-01,16
3,SA,Port Augusta & Eyre Peninsula,36,Skilled Animal and Horticultural Workers,2026-07-01,3.333
3,SA,Port Augusta & Eyre Peninsula,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",2026-07-01,1.667
3,SA,Port Augusta & Eyre Peninsula,3B,"Jewellers, Arts and Other Trades Workers",2026-07-01,2.333
2,SA,Port Augusta & Eyre Peninsula,4,COMMUNITY AND PERSONAL SERVICE WORKERS,2026-07-01,94.333
3,SA,Port Augusta & Eyre Peninsula,41,Health and Welfare Support Workers,2026-07-01,35.333
3,SA,Port Augusta & Eyre Peninsula,42,Carers and Aides,2026-07-01,43.333
3,SA,Port Augusta & Eyre Peninsula,43,Hospitality Workers,2026-07-01,6.667
3,SA,Port Augusta & Eyre Peninsula,44,Protective Service Workers,2026-07-01,4
3,SA,Port Augusta & Eyre Peninsula,45,"Sports, Travel and Personal Service Workers",2026-07-01,5
2,SA,Port Augusta & Eyre Peninsula,5,CLERICAL AND ADMINISTRATIVE WORKERS,2026-07-01,68.667
3,SA,Port Augusta & Eyre Peninsula,55,Numerical Clerks,2026-07-01,6.333
3,SA,Port Augusta & Eyre Peninsula,56,Clerical and Office Support Workers,2026-07-01,4
3,SA,Port Augusta & Eyre Peninsula,59,Other Clerical and Administrative Workers,2026-07-01,5.333
