level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
2,35,Food Trades Workers,Regional,2026-07-01,1482
2,36,Skilled Animal and Horticultural Workers,Regional,2026-07-01,436
2,3A,"Hairdressers, Printing, Clothing and Wood Trades Workers",Regional,2026-07-01,289
2,3B,"Jewellers, Arts and Other Trades Workers",Regional,2026-07-01,360
4,3111,Agricultural Technicians,Regional,2026-07-01,62
4,3112,Medical Technicians,Regional,2026-07-01,169
4,3113,Primary Products Inspectors,Regional,2026-07-01,9
4,3114,Science Technicians,Regional,2026-07-01,38
4,3121,"Architectural, Building and Surveying Technicians",Regional,2026-07-01,496
4,3122,Civil Engineering Draftspersons and Technicians,Regional,2026-07-01,55
4,3123,Electrical Engineering Draftspersons and Technicians,Regional,2026-07-01,63
4,3124,Electronic Engineering Draftspersons and Technicians,Regional,2026-07-01,11
4,3125,Mechanical Engineering Draftspersons and Technicians,Regional,2026-07-01,69
4,3126,Safety Inspectors,Regional,2026-07-01,29
4,3129,Other Building and Engineering Technicians,Regional,2026-07-01,191
4,3131,ICT Support Technicians,Regional,2026-07-01,147
4,3132,Telecommunications Technical Specialists,Regional,2026-07-01,11
4,3211,Automotive Electricians,Regional,2026-07-01,147
4,3212,Motor Mechanics,Regional,2026-07-01,1155
4,3221,"Metal Casting, Forging and Finishing Trades Workers",Regional,2026-07-01,3
4,3222,Sheetmetal Trades Workers,Regional,2026-07-01,114
4,3223,Structural Steel and Welding Trades Workers,Regional,2026-07-01,564
4,3231,Aircraft Maintenance Engineers,Regional,2026-07-01,48
4,3232,Metal Fitters and Machinists,Regional,2026-07-01,1123
4,3233,Precision Metal Trades Workers,Regional,2026-07-01,14
4,3234,Toolmakers and Engineering Patternmakers,Regional,2026-07-01,2
4,3241,Panelbeaters,Regional,2026-07-01,65
4,3242,Vehicle Body Builders and Trimmers,Regional,2026-07-01,6
4,3243,Vehicle Painters,Regional,2026-07-01,25
4,3311,Bricklayers and Stonemasons,Regional,2026-07-01,31
4,3312,Carpenters and Joiners,Regional,2026-07-01,306
4,3321,Floor Finishers,Regional,2026-07-01,13
4,3322,Painting Trades Workers,Regional,2026-07-01,195
4,3331,Glaziers,Regional,2026-07-01,35
4,3332,Plasterers,Regional,2026-07-01,28
4,3333,Roof Tilers,Regional,2026-07-01,33
4,3334,Wall and Floor Tilers,Regional,2026-07-01,35
4,3341,Plumbers,Regional,2026-07-01,403
4,3411,Electricians,Regional,2026-07-01,1009
4,3421,Airconditioning and Refrigeration Mechanics,Regional,2026-07-01,121
4,3422,Electrical Distribution Trades Workers,Regional,2026-07-01,63
4,3423,Electronics Trades Workers,Regional,2026-07-01,35
4,3424,Telecommunications Trades Workers,Regional,2026-07-01,24
4,3511,Bakers and Pastrycooks,Regional,2026-07-01,132
4,3512,Butchers and Smallgoods Makers,Regional,2026-07-01,46
4,3513,Chefs,Regional,2026-07-01,899
4,3514,Cooks,Regional,2026-07-01,404
4,3611,Animal Attendants and Trainers,Regional,2026-07-01,41
4,3612,Shearers,Regional,2026-07-01,1
4,3613,Veterinary Nurses,Regional,2026-07-01,49
4,3621,Florists,Regional,2026-07-01,5
4,3622,Gardeners,Regional,2026-07-01,237
4,3623,Greenkeepers,Regional,2026-07-01,86
4,3624,Nurserypersons,Regional,2026-07-01,17
4,3911,Hairdressers,Regional,2026-07-01,125
4,3921,"Binders, Finishers and Screen Printers",Regional,2026-07-01,1
4,3922,Graphic Pre-press Trades Workers,Regional,2026-07-01,13
4,3923,Printers,Regional,2026-07-01,3
4,3931,Canvas and Leather Goods Makers,Regional,2026-07-01,1
4,3932,Clothing Trades Workers,Regional,2026-07-01,4
4,3933,Upholsterers,Regional,2026-07-01,2
4,3941,Cabinetmakers,Regional,2026-07-01,76
4,3942,Wood Machinists and Other Wood Trades Workers,Regional,2026-07-01,14
4,3991,Boat Builders and Shipwrights,Regional,2026-07-01,7
4,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",Regional,2026-07-01,31
4,3993,"Gallery, Library and Museum Technicians",Regional,2026-07-01,13
4,3994,Jewellers,Regional,2026-07-01,8
4,3995,Performing Arts Technicians,Regional,2026-07-01,30
4,3996,Signwriters,Regional,2026-07-01,8
4,3999,Other Miscellaneous Technicians and Trades Workers,Regional,2026-07-01,314
1,4,COMMUNITY AND PERSONAL SERVICE WORKERS,Regional,2026-07-01,7044
2,41,Health and Welfare Support Workers,Regional,2026-07-01,1172
2,42,Carers and Aides,Regional,2026-07-01,4051
2,43,Hospitality Workers,Regional,2026-07-01,967
2,44,Protective Service Workers,Regional,2026-07-01,256
2,45,"Sports, Travel and Personal Service Workers",Regional,2026-07-01,598
4,4111,Ambulance Officers and Paramedics,Regional,2026-07-01,18
4,4112,"Dental Hygienists, Technicians and Therapists",Regional,2026-07-01,64
4,4113,Diversional Therapists,Regional,2026-07-01,26
4,4114,Enrolled and Mothercraft Nurses,Regional,2026-07-01,329
4,4115,Indigenous Health Workers,Regional,2026-07-01,40
4,4116,Massage Therapists,Regional,2026-07-01,31
4,4117,Welfare Support Workers,Regional,2026-07-01,663
4,4211,Child Carers,Regional,2026-07-01,1018
4,4221,Education Aides,Regional,2026-07-01,476
4,4231,Aged and Disabled Carers,Regional,2026-07-01,1485
4,4232,Dental Assistants,Regional,2026-07-01,244
4,4233,Nursing Support and Personal Care Workers,Regional,2026-07-01,806
4,4234,Special Care Workers,Regional,2026-07-01,22
