state,anzsco_level,nfd_indicator,code_text,anzsco_title,covid_adjusted,skill_level,trend_data_for_feb_2026_000,qtr_change_to_feb_2026_000s,qtr_change_to_feb_2026_pct,1_year_change_to_feb_2026_000s,1_year_change_to_feb_2026_pct,5_year_change_to_feb_2026_000s,5_year_change_to_feb_2026_pct,10_year_change_to_feb_2026_000s,10_year_change_to_feb_2026_pct,share_of_state_emp_pct,share_of_occupation_emp_pct
ACT,4,N,2243,Economists,,1,0.754155752984115,-0.0144195140360592,-1.87613557901294,-0.0577669655144113,-7.11483546380358,-0.0767689768524128,-9.23898087225253,-0.0676831591164267,-8.23557489428616,0.256117218384808,15.8844037158654
ACT,4,N,2244,Intelligence and Policy Analysts,,1,8.48158954818233,-0.0485239291167581,-0.568854438406865,-0.182804318526447,-2.10983389419583,-0.183848654413199,-2.1216313602944,1.11495628325651,15.1352217920914,2.88041444219796,19.6532158774506
ACT,4,N,2245,Land Economists and Valuers,,1,0.261572518875654,0.000937120655046253,0.359552333046125,0.00812448911304037,3.20558385111535,0.142422562919855,119.532199384689,0.084906801759371,48.0607121434232,0.0888320823321377,1.98363501972536
ACT,4,N,2246,Librarians,,1,0.576601763908521,-0.00676087897818911,-1.15894959346961,-0.0233811409403937,-3.89696785548939,-0.00594292655972894,-1.02016663390272,-0.120973153328679,-17.341958596763,0.195818488824993,4.99213892912248
ACT,4,N,2247,Management and Organisation Analysts,,1,4.69721546538332,0.0807882676127267,1.75001714858065,0.311219025381402,7.09574277222318,1.5455614160094,49.0396912794545,2.78254163283282,145.327187614313,1.59521127351716,4.34083950698638
ACT,4,N,2249,Other Information and Organisation Professionals,,1,2.58558959306509,-0.00109606340717994,-0.0423732742491313,-0.0103129927435233,-0.397279651397659,0.0876955061172522,3.51077760163991,0.996710826463058,62.7304516501672,0.878086538278369,4.98324668209162
ACT,4,N,2251,Advertising and Marketing Professionals,,1,1.11787683157353,-0.012240076153855,-1.08308052646246,-0.0394385757867901,-3.40776382444817,0.192143408847929,20.7558033588339,0.450149120122996,67.4150724020598,0.37963975407805,1.14788378866801
ACT,4,N,2252,ICT Sales Professionals,,1,0.405224074466443,-0.000156542945506433,-0.0386162877016276,-0.00169611465223418,-0.416817522843408,0.0149723610104506,3.8365907167603,0.0473783899545744,13.2398941793031,0.137617279141925,2.08952954450158
ACT,4,N,2253,Public Relations Professionals,,1,1.36204706415074,-0.0519986700746498,-3.67729761605869,-0.182023532184655,-11.7885498640191,0.00646822214120224,0.47715573161452,-0.0142098386684242,-1.03249899341586,0.462561883270324,4.32206889835288
ACT,4,N,2254,Technical Sales Representatives,,1,0.146232876750236,0.000870222090584183,0.598655887663648,0.0033208257384551,2.32368489217284,-0.052361502558354,-26.3660546389336,-0.0619318793716164,-29.7513760376245,0.0496618337544763,0.548989104772463
