anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
1411,Cafe and Restaurant Managers,"Cafe and Restaurant Managers organise and control the operations of cafes, restaurants and related establishments to provide dining and catering services.",63700,1644,38,-400,46,607.33333,201.66667,118.33333,132.0,36.33333,88.33333,7.66667,5.33333,17.66667,64.5099001761583,65.63756810225081,69.13761210940031,1.1276679260925135,1.748054055289454,4.627711933242011,7.173646092468037
1412,Caravan Park and Camping Ground Managers,Caravan Park and Camping Ground Managers organise and control the operations of caravan parks and camping grounds to provide accommodation and leisure services.,3200,1519,51,200,51,6.66667,1.33333,2.33333,0.33333,1.0,1.33333,0.33333,0.0,0.0,3.21239105071902,3.2168761211167,3.45792182372278,0.00448507039767998,0.13961782133206044,0.24553077300376014,7.643240474997704
1413,Hotel and Motel Managers,"Hotel and Motel Managers organise and control the operations of hotels and motels to provide guest accommodation, meals and other services.",18500,1827,44,-200,50,604.33333,173.0,102.66667,178.66667,55.66667,58.66667,10.66667,11.66667,13.33333,18.248528713678102,18.4207086976765,19.5988907392824,0.1721799839983973,0.9435280328618524,1.3503620256042979,7.399840539430119
1414,Licensed Club Managers,"Licensed Club Managers organise and control the operations of licensed clubs to provide food, beverages, gaming, entertainment, sporting and other amenities for members.",7800,1765,56,400,42,147.0,52.66667,33.0,38.0,9.66667,5.33333,2.33333,3.0,3.0,6.45246672872837,6.5614914144861896,6.90464879829476,0.1090246857578192,1.6896590147827917,0.4521820695663896,7.007894632809738
1419,Other Accommodation and Hospitality Managers,Other Accommodation and Hospitality Managers includes occupations such as Bed and Breakfast Operators and Retirement Village Managers.,8300,1923,54,-400,48,103.66667,31.33333,18.0,26.66667,8.66667,14.66667,0.33333,1.66667,2.33333,10.4807489755357,10.703440678773301,11.4522450191591,0.2226917032376008,2.1247689812761537,0.9714960436234001,9.269337963260819
1421,Retail Managers,Retail Managers organise and control the operations of establishments which provide retail services.,247500,1620,42,300,45,3636.0,1108.33333,844.66667,841.66667,240.0,448.0,49.33333,32.66667,71.33333,250.748451634984,255.80653144961,267.72817734269796,5.058079814625984,2.017192840731499,16.979725707713953,6.77161737071519
1491,"Amusement, Fitness and Sports Centre Managers","Amusement, Fitness and Sports Centre Managers organise, control and promote the activities, facilities and resources of amusement, fitness and sports centres.",20300,1538,38,900,43,277.66667,67.0,78.0,65.33333,21.66667,31.33333,6.33333,3.33333,4.66667,19.7030796858784,20.823452348108,22.0893544223079,1.1203726622295989,5.686281942170659,2.386274736429499,12.11117639715882
1492,"Call, Contact Centre and Customer Service Managers","Call or Contact Centre and Customer Service Managers organise and control the operations of call or contact centres, review customer services, and maintain sound customer relations.",38500,2206,42,-700,43,584.66667,178.33333,119.33333,154.33333,39.0,74.33333,4.0,5.33333,10.0,39.5296185096408,42.221490563478596,44.824844053511,2.6918720538377983,6.809759758195701,5.2952255438702025,13.395589796999333
1493,Conference and Event Organisers,"Conference and Event Organisers organise and coordinate services for conferences, events, functions, banquets and seminars.",31200,1634,38,100,41,433.33333,167.0,101.66667,79.66667,21.66667,44.66667,4.66667,3.0,11.0,30.3358567456184,32.0407688586219,34.0464078614647,1.7049121130035019,5.62012184887362,3.7105511158463003,12.231568559151503
1494,Transport Services Managers,"Transport Services Managers organise and control the buying and selling of vehicles for rental agencies and coordinate the leasing of vehicles, the operations of railway stations, and the operations of enterprises that operate fleets of vehicles to transport goods and passengers.",23400,2652,47,2200,48,217.0,62.0,53.66667,53.33333,14.33333,28.66667,3.0,1.66667,0.33333,20.0333643491228,21.237338500956803,22.484839746649598,1.2039741518340037,6.009845030780974,2.4514753975267993,12.236963072226768
