major_code,major_name,narrow_field_code,narrow_field_name,broad_field_code,broad_field_name,data_source
050501,Forestry Studies,0505,Forestry Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050701,Aquaculture,0507,Fisheries Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050799,"Fisheries Studies, n.e.c.",0507,Fisheries Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050901,"Land, Parks and Wildlife Management",0509,Environmental Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
050999,"Environmental Studies, n.e.c.",0509,Environmental Studies,05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
059901,Pest and Weed Control,0599,"Other Agriculture, Environmental and Related Studies",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
059999,"Agriculture, Environmental and Related Studies, n.e.c.",0599,"Other Agriculture, Environmental and Related Studies",05,"AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",ASCED 2001
060101,General Medicine,0601,Medical Studies,06,HEALTH,ASCED 2001
060103,Surgery,0601,Medical Studies,06,HEALTH,ASCED 2001
060105,Psychiatry,0601,Medical Studies,06,HEALTH,ASCED 2001
060107,Obstetrics and Gynaecology,0601,Medical Studies,06,HEALTH,ASCED 2001
060109,Paediatrics,0601,Medical Studies,06,HEALTH,ASCED 2001
060111,Anaesthesiology,0601,Medical Studies,06,HEALTH,ASCED 2001
060113,Pathology,0601,Medical Studies,06,HEALTH,ASCED 2001
060115,Radiology,0601,Medical Studies,06,HEALTH,ASCED 2001
060117,Internal Medicine,0601,Medical Studies,06,HEALTH,ASCED 2001
060119,General Practice,0601,Medical Studies,06,HEALTH,ASCED 2001
060199,"Medical Studies, n.e.c.",0601,Medical Studies,06,HEALTH,ASCED 2001
060301,General Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060303,Midwifery,0603,Nursing,06,HEALTH,ASCED 2001
060305,Mental Health Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060307,Community Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060309,Critical Care Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060311,Aged Care Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060313,Palliative Care Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060315,Mothercraft Nursing and Family and Child Health Nursing,0603,Nursing,06,HEALTH,ASCED 2001
060399,"Nursing, n.e.c.",0603,Nursing,06,HEALTH,ASCED 2001
060501,Pharmacy,0605,Pharmacy,06,HEALTH,ASCED 2001
060701,Dentistry,0607,Dental Studies,06,HEALTH,ASCED 2001
060703,Dental Assisting,0607,Dental Studies,06,HEALTH,ASCED 2001
060705,Dental Technology,0607,Dental Studies,06,HEALTH,ASCED 2001
060799,"Dental Studies, n.e.c.",0607,Dental Studies,06,HEALTH,ASCED 2001
060901,Optometry,0609,Optical Science,06,HEALTH,ASCED 2001
060903,Optical Technology,0609,Optical Science,06,HEALTH,ASCED 2001
060999,"Optical Science, n.e.c.",0609,Optical Science,06,HEALTH,ASCED 2001
061101,Veterinary Science,0611,Veterinary Studies,06,HEALTH,ASCED 2001
061103,Veterinary Assisting,0611,Veterinary Studies,06,HEALTH,ASCED 2001
061199,"Veterinary Studies, n.e.c.",0611,Veterinary Studies,06,HEALTH,ASCED 2001
061301,Occupational Health and Safety,0613,Public Health,06,HEALTH,ASCED 2001
061303,Environmental Health,0613,Public Health,06,HEALTH,ASCED 2001
