cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
0100923,Master of Combined Studies in Creative Industries / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100924,Master of Combined Studies in Cybergovernance and Management / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100925,Master of Combined Studies in Finance / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100926,Master of Combined Studies in International Business / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100927,Master of Combined Studies in International Relations / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100928,Master of Combined Studies in International Trade and Commerce Law / Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100929,Master of Combined Studies in Management / Marketing,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100930,Master of Combined Studies in Management / Media and Communications,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0100931,Master of Combined Studies in Management / Public and Social Policy,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101343,Bachelor of Combined Studies in Commerce / Education (Secondary),Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101344,Bachelor of Combined Studies in Education (Primary) / Psychology,Bachelor Degree,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101507,Master of Combined Studies in Business Analytics / Information Systems Management,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101508,Master of Combined Studies in Business Analytics / Information Technology in Cyber Security,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101509,Master of Combined Studies in Business Analytics / Information Technology in Networking,Masters Degree (Coursework),1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
0101874,Bachelor of Laws (Honours),Bachelor Honours Degree,1,09,Society and Culture,0909,Law,090913,Legal Practice,CRICOS
018437A,Bachelor of Commerce with the degree of Bachelor of Laws,Bachelor Degree,1,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",CRICOS
018437A,Bachelor of Commerce with the degree of Bachelor of Laws,Bachelor Degree,2,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
020161F,Bachelor of Medical Sciences,Bachelor Degree,1,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,CRICOS
021498F,Bachelor of Psychology (Honours),Bachelor Honours Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
021499E,Bachelor of Education (Early Childhood Education) (Birth to 12),Bachelor Degree,1,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,CRICOS
021502D,Doctor of Philosophy (Business and Economics),Doctoral Degree,1,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
022767D,Master of Accounting (CPA Extension),Masters Degree (Coursework),1,08,Management and Commerce,0801,Accounting,080101,Accounting,CRICOS
027337G,Bachelor of Social Science,Bachelor Degree,1,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",CRICOS
027342M,Bachelor of Applied Finance,Bachelor Degree,1,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,CRICOS
027343K,Bachelor of Business Administration,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080301,Business Management,CRICOS
027361G,Combined PHD/Masters in Clinical Psychology,Doctoral Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
