industry_label,males,females,persons
Paint and Coatings Manufacturing,3750,1478,5230
Other Polymer Product Manufacturing,1368,378,1748
Natural Rubber Product Manufacturing,546,155,706
"Non-Metallic Mineral Product Manufacturing, nfd",391,97,487
Glass and Glass Product Manufacturing,5478,1147,6619
"Ceramic Product Manufacturing, nfd",67,97,161
Clay Brick Manufacturing,1108,184,1296
Other Ceramic Product Manufacturing,483,317,801
"Cement, Lime, Plaster and Concrete Product Manufacturing, nfd",193,61,252
Cement and Lime Manufacturing,2538,466,3004
Plaster Product Manufacturing,1033,227,1259
Ready-Mixed Concrete Manufacturing,6038,844,6879
Concrete Product Manufacturing,2521,628,3153
Other Non-Metallic Mineral Product Manufacturing,5280,1146,6423
"Primary Metal and Metal Product Manufacturing, nfd",654,70,716
Iron Smelting and Steel Manufacturing,19835,3927,23759
"Basic Ferrous Metal Product Manufacturing, nfd",17,0,14
Iron and Steel Casting,1420,253,1670
Steel Pipe and Tube Manufacturing,523,70,590
"Basic Non-Ferrous Metal Manufacturing, nfd",6919,1025,7943
Alumina Production,4488,933,5421
Aluminium Smelting,4139,779,4909
"Copper, Silver, Lead and Zinc Smelting and Refining",1580,143,1732
Other Basic Non-Ferrous Metal Manufacturing,1219,405,1623
"Basic Non-Ferrous Metal Product Manufacturing, nfd",56,9,62
Non-Ferrous Metal Casting,153,29,183
"Aluminium Rolling, Drawing, Extruding",1552,458,2007
Other Basic Non-Ferrous Metal Product Manufacturing,2967,596,3560
"Fabricated Metal Product Manufacturing, nfd",416,37,454
Iron and Steel Forging,131,50,178
"Structural Metal Product Manufacturing, nfd",99,33,132
Structural Steel Fabricating,6268,1002,7275
Prefabricated Metal Building Manufacturing,1308,287,1596
Architectural Aluminium Product Manufacturing,6238,1589,7825
Metal Roof and Guttering Manufacturing (except Aluminium),982,287,1270
Other Structural Metal Product Manufacturing,3841,1039,4876
"Metal Container Manufacturing, nfd",20,0,21
"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",1625,171,1802
Other Metal Container Manufacturing,1313,281,1600
Sheet Metal Product Manufacturing (except Metal Structural and Container Products),2317,481,2792
"Other Fabricated Metal Product Manufacturing, nfd",655,86,743
Spring and Wire Product Manufacturing,1644,444,2084
"Nut, Bolt, Screw and Rivet Manufacturing",555,123,674
Metal Coating and Finishing,3077,667,3745
Other Fabricated Metal Product Manufacturing nec,4263,1242,5509
"Transport Equipment Manufacturing, nfd",886,226,1112
"Motor Vehicle and Motor Vehicle Part Manufacturing, nfd",463,107,572
Motor Vehicle Manufacturing,6819,1271,8081
