occupation_code,onet_code
331935,51-4033.00
331935,51-4193.00
331935,51-9022.00
332132,49-2091.00
332132,49-3011.00
332132,51-2011.00
332232,49-9094.00
332232,51-4034.00
332232,51-4041.00
332333,49-9064.00
332333,51-2061.00
332334,49-2098.00
332334,49-9011.00
332334,49-9094.00
332335,49-9062.00
332335,49-9064.00
332335,51-2061.00
332338,49-9064.00
332338,49-9091.00
332338,49-9094.00
341132,39-2011.00
341134,33-9011.00
341134,39-2011.00
341134,39-2021.00
341231,29-2056.00
341231,31-9096.00
342232,37-3012.00
342232,37-3013.00
342232,45-4021.00
342432,17-1012.00
342432,37-1012.00
342432,37-3011.00
343137,45-1011.00
351231,49-2092.00
351231,49-2096.00
351231,49-3023.00
351432,49-3091.00
351436,49-3052.00
362131,47-2121.00
362131,49-3022.00
363131,47-2152.00
363131,47-3015.00
363932,47-2152.00
363932,49-2098.00
369131,51-7011.00
369131,51-7021.00
371131,47-2021.00
371131,47-2022.00
371131,47-2044.00
371132,39-4011.00
371132,47-2022.00
371132,47-2044.00
371231,47-2021.00
371231,47-2022.00
371231,47-2043.00
372131,47-2031.00
372131,47-3012.00
372131,49-9095.00
372132,47-2031.00
372132,47-3012.00
372132,49-9095.00
381231,47-2111.00
381231,47-3013.00
381231,49-2092.00
381232,49-2096.00
381233,47-2111.00
381233,47-3013.00
381233,47-5043.00
381234,47-4021.00
381234,49-2098.00
382131,49-9021.00
382234,15-1232.00
382234,49-2011.00
382234,49-9031.00
382334,15-1241.01
382334,49-2021.00
382334,49-2022.00
391131,39-4011.00
391132,25-4031.00
391231,27-2091.00
391231,27-4032.00
391232,27-4012.00
391232,49-2097.00
391233,27-4031.00
391234,27-4015.00
391299,27-2012.05
391331,27-4021.00
391331,39-3021.00
391331,51-9151.00
391433,51-5112.00
391434,51-5112.00
391434,51-9199.00
391932,51-9071.00
391932,51-9071.06
392131,39-5011.00
392131,39-5092.00
392131,39-5093.00
392132,39-5011.00
392132,39-5012.00
392132,39-5092.00
399131,51-8091.00
399133,51-8013.00
399231,47-5011.00
399231,47-5012.00
399231,47-5071.00
399433,39-3092.00
399433,51-6052.00
399437,51-6041.00
399437,51-6042.00
399438,51-6051.00
399438,51-6093.00
399438,51-7021.00
399531,51-7021.00
399531,51-9123.00
399931,49-9044.00
399931,49-9092.00
399931,49-9096.00
399938,49-9044.00
399938,49-9098.00
399938,51-2011.00
399999,47-2121.00
399999,51-9195.04
411531,27-3091.00
411531,27-3092.00
411531,31-9099.01
411532,27-3091.00
411532,27-3092.00
411532,43-9022.00
411632,21-1021.00
431331,31-1121.00
431331,31-1122.00
431331,39-9011.00
432231,25-9042.00
432231,25-9043.00
441231,11-9179.02
441231,29-1291.00
441231,31-2021.00
441331,21-1013.00
441331,21-1014.00
441331,21-1023.00
442231,29-1071.01
442231,29-2053.00
442231,29-2061.00
442331,31-9091.00
442531,31-1131.00
442531,31-1133.00
442532,31-1132.00
451232,33-1021.00
451232,33-2011.00
451232,33-2021.00
452131,21-1092.00
452131,33-1011.00
452131,33-3012.00
452238,11-9199.08
452238,13-1199.07
452238,33-1091.00
461131,39-5012.00
461131,39-5092.00
461131,39-5093.00
461231,39-5091.00
461231,39-5092.00
461231,41-9012.00
461232,39-5091.00
461333,13-1041.06
461333,39-4011.00
461333,39-4012.00
461499,33-9011.00
461499,39-2011.00
461499,39-2021.00
461531,25-3099.00
461633,39-7011.00
461633,39-7012.00
461731,53-2031.00
461731,53-6061.00
